ID	Name	Genes	Length
1783	GO:0022403 cell cycle phase	orf19.3071;orf19.122;orf19.5004;orf19.3001	4
1784	GO:0022406 membrane docking	orf19.6479;orf19.478;orf19.3086;orf19.2629;orf19.5248;orf19.5725;orf19.3647;orf19.184;orf19.1376;orf19.5265;orf19.5584;orf19.1826;orf19.3052;orf19.6039;orf19.745;orf19.6016;orf19.5214;orf19.2571;orf19.841;orf19.4993;orf19.5618;orf19.5015;orf19.4187;orf19.3898;orf19.2565;orf19.5875;orf19.1418;orf19.3203;orf19.5662;orf19.3128;orf19.6900	31
1785	GO:0022407 regulation of cell-cell adhesion	orf19.3672;orf19.2444;orf19.6420;orf19.4662;orf19.7523;orf19.896;orf19.6109;orf19.3523;orf19.3038;orf19.3969;orf19.5741	11
1786	GO:0022408 negative regulation of cell-cell adhesion	orf19.3672;orf19.2444;orf19.6420;orf19.896;orf19.3523;orf19.3038;orf19.3969	7
1787	GO:0022409 positive regulation of cell-cell adhesion	orf19.5741	1
1788	GO:0022411 cellular component disassembly	orf19.7445;orf19.3677;orf19.4410;orf19.2646;orf19.2401;orf19.1442;orf19.4839;orf19.3111;orf19.6987;orf19.7627;orf19.3256;orf19.7357;orf19.1210;orf19.1656;orf19.3373;orf19.6196;orf19.4170;orf19.6469;orf19.6034;orf19.7389;orf19.3112;orf19.5179;orf19.953.1;orf19.4432;orf19.2848;orf19.6552;orf19.2747;orf19.1378;orf19.6010;orf19.478;orf19.2033;orf19.4471;orf19.2987;orf19.4235;orf19.5513;orf19.723;orf19.438;orf19.2340;orf19.313;orf19.3998;orf19.5148;orf19.6639;orf19.4119;orf19.2445;orf19.7036;orf19.6824;orf19.3034;orf19.6781;orf19.5579;orf19.707;orf19.1715;orf19.3746;orf19.764;orf19.4593;orf19.1718;orf19.3986;orf19.7372;orf19.3019;orf19.2808;orf19.5725;orf19.3876;orf19.3573;orf19.3212;orf19.4649;orf19.2495;orf19.3715;orf19.3699;orf19.2280;orf19.3434;orf19.1667;orf19.4339;orf19.7353;orf19.2751;orf19.5429;orf19.5488;orf19.4263;orf19.2753;orf19.3801;orf19.2101;orf19.4192;orf19.3425;orf19.2026;orf19.6167;orf19.3409;orf19.1991;orf19.1567;orf19.6148;orf19.712;orf19.815;orf19.166;orf19.48;orf19.6364;orf19.672;orf19.4655;orf19.433;orf19.6197;orf19.2480.1;orf19.6805;orf19.5163;orf19.5032;orf19.4348;orf19.1777;orf19.4347;orf19.1303;orf19.5903;orf19.6316;orf19.1333;orf19.505;orf19.1297;orf19.7207;orf19.593;orf19.1481;orf19.1944;orf19.3474;orf19.2055;orf19.3455;orf19.2272;orf19.3214;orf19.2945;orf19.7336;orf19.2473;orf19.2041;orf19.5702;orf19.1364;orf19.5089;orf19.6550;orf19.1043;orf19.3066;orf19.3541;orf19.6913;orf19.2748;orf19.3052;orf19.4849;orf19.5237;orf19.2623;orf19.5974;orf19.3193;orf19.2436;orf19.5011;orf19.4763;orf19.4275;orf19.7441;orf19.3149;orf19.4614;orf19.1621;orf19.87;orf19.1547;orf19.4145;orf19.7380;orf19.5093;orf19.791;orf19.6040;orf19.4535;orf19.474;orf19.2343;orf19.425;orf19.1795;orf19.3264;orf19.6601.1;orf19.1990;orf19.215;orf19.7393;orf19.4993;orf19.1661;orf19.4549;orf19.4395;orf19.3841;orf19.1310;orf19.4657;orf19.5033;orf19.4063;orf19.4953;orf19.4767;orf19.7371;orf19.3188;orf19.2518;orf19.7234;orf19.2070;orf19.3705;orf19.4882;orf19.3782;orf19.7164;orf19.2642;orf19.2990;orf19.6885;orf19.7392;orf19.4059;orf19.4152;orf19.4322;orf19.5924;orf19.5848;orf19.6792;orf19.7098;orf19.1054;orf19.5147;orf19.3785;orf19.3506;orf19.6358;orf19.698;orf19.5970;orf19.3412;orf19.1687;orf19.4958;orf19.1254;orf19.3282;orf19.3496;orf19.1055;orf19.4521;orf19.5097;orf19.3153;orf19.3226;orf19.4590;orf19.3591;orf19.4897;orf19.2964;orf19.2228;orf19.7236;orf19.3638;orf19.4203;orf19.7144;orf19.4210;orf19.2419;orf19.1345;orf19.6020;orf19.6790;orf19.2771;orf19.6980;orf19.239;orf19.1096;orf19.2935;orf19.6778;orf19.2315;orf19.1793;orf19.5956;orf19.2890;orf19.1802;orf19.5869;orf19.7214;orf19.20;orf19.4979;orf19.6591;orf19.1439;orf19.3009;orf19.3437;orf19.7033;orf19.5387;orf19.7500;orf19.695;orf19.4116;orf19.85;orf19.4134;orf19.3417;orf19.4232;orf19.5392;orf19.261;orf19.2565;orf19.1727;orf19.2507;orf19.1510;orf19.2722;orf19.4274;orf19.4862;orf19.4033;orf19.7400;orf19.4435;orf19.5875;orf19.7483;orf19.3769;orf19.6680;orf19.676;orf19.6861;orf19.2695;orf19.1814;orf19.6064;orf19.4913;orf19.1751;orf19.3606;orf19.7342;orf19.4262;orf19.2432;orf19.2980;orf19.4668;orf19.1289;orf19.6634;orf19.3176;orf19.940;orf19.3545;orf19.4323;orf19.3201;orf19.5812;orf19.6387;orf19.2434;orf19.7479;orf19.2982;orf19.5506;orf19.7501;orf19.2559;orf19.7238;orf19.5843;orf19.6595;orf19.3027;orf19.816;orf19.4066;orf19.843;orf19.3030;orf19.3767;orf19.6481;orf19.3241;orf19.10710;orf19.10708	310
1789	GO:0022413 reproductive process in single-celled organism	orf19.7247;orf19.1755;orf19.5954;orf19.2849;orf19.696;orf19.6787;orf19.5318;orf19.2886;orf19.7079;orf19.138;orf19.2549;orf19.3414;orf19.3752;orf19.3944;orf19.4208;orf19.3801;orf19.1376;orf19.6640;orf19.6915;orf19.6472;orf19.1746;orf19.1311;orf19.2079;orf19.6103;orf19.1621;orf19.791;orf19.1156;orf19.6311;orf19.5675;orf19.1434;orf19.6092;orf19.2492;orf19.879;orf19.6285;orf19.6489;orf19.2395;orf19.1524;orf19.4413;orf19.3049;orf19.7489;orf19.2469;orf19.4157;orf19.5595;orf19.3014;orf19.6009;orf19.7342;orf19.2614;orf19.101;orf19.3459;orf19.941;orf19.3176;orf19.7479;orf19.5076	53
1790	GO:0022414 reproductive process	orf19.4206;orf19.1711;orf19.3592;orf19.136;orf19.7247;orf19.1755;orf19.5873;orf19.5844;orf19.1059;orf19.4616;orf19.796;orf19.3589;orf19.564;orf19.5166;orf19.4015;orf19.4151;orf19.2873;orf19.2129;orf19.5954;orf19.926;orf19.2740;orf19.3373;orf19.7412;orf19.3013;orf19.4044;orf19.139;orf19.2849;orf19.1623;orf19.6789;orf19.5006.1;orf19.1941;orf19.2267;orf19.6610;orf19.696;orf19.6787;orf19.2867;orf19.5318;orf19.2886;orf19.2929;orf19.7257;orf19.3344;orf19.3761;orf19.6010;orf19.6011;orf19.7079;orf19.59;orf19.5934;orf19.2472;orf19.776;orf19.377;orf19.5248;orf19.3183;orf19.3764;orf19.7652;orf19.3693;orf19.1693;orf19.3166;orf19.138;orf19.4427;orf19.2216;orf19.3608;orf19.2549;orf19.1900;orf19.1170;orf19.669;orf19.508;orf19.3699;orf19.7355;orf19.705;orf19.3414;orf19.3647;orf19.3752;orf19.4955;orf19.7353;orf19.191;orf19.3944;orf19.7044;orf19.4208;orf19.3801;orf19.4192;orf19.799;orf19.1376;orf19.6222;orf19.1622;orf19.4448;orf19.7053;orf19.5281;orf19.4645;orf19.3965;orf19.3760;orf19.3494;orf19.6640;orf19.554;orf19.6915;orf19.6444;orf19.3306;orf19.6472;orf19.3474;orf19.2383;orf19.5069;orf19.103;orf19.4072;orf19.3530;orf19.4105;orf19.7006;orf19.1746;orf19.4401;orf19.7402;orf19.2745;orf19.6029;orf19.366;orf19.1448.1;orf19.4560;orf19.7310;orf19.3066;orf19.1648;orf19.6296;orf19.657;orf19.2075;orf19.3200;orf19.1311;orf19.2079;orf19.6801;orf19.5335;orf19.2546;orf19.6103;orf19.6044;orf19.866;orf19.6109;orf19.2571;orf19.807;orf19.2919;orf19.6142;orf19.3960;orf19.5004;orf19.1621;orf19.4718;orf19.791;orf19.6031;orf19.4035;orf19.976;orf19.4988;orf19.4914;orf19.2678;orf19.6812;orf19.1853;orf19.2922;orf19.5376;orf19.1156;orf19.7440;orf19.4416;orf19.6311;orf19.3476;orf19.5675;orf19.6362;orf19.6851;orf19.548;orf19.1647;orf19.5212;orf19.4927;orf19.1434;orf19.5485;orf19.2827;orf19.7298;orf19.5568;orf19.2616;orf19.1161;orf19.1446;orf19.7503;orf19.7446;orf19.1865;orf19.5999;orf19.306;orf19.2763;orf19.2622;orf19.2990;orf19.5015;orf19.3736;orf19.6092;orf19.2492;orf19.879;orf19.1429;orf19.4566;orf19.3561;orf19.5007;orf19.3856;orf19.3774.1;orf19.1468;orf19.5087;orf19.6285;orf19.1716;orf19.663;orf19.793;orf19.848;orf19.6489;orf19.4890;orf19.2907;orf19.2395;orf19.1055;orf19.1524;orf19.3153;orf19.553;orf19.390;orf19.2843;orf19.1835;orf19.4413;orf19.4945;orf19.5171;orf19.4109;orf19.1192;orf19.2007;orf19.7292;orf19.844;orf19.6170;orf19.429;orf19.3049;orf19.1874;orf19.7489;orf19.239;orf19.2469;orf19.6936;orf19.262;orf19.4438;orf19.2713;orf19.1956;orf19.1476;orf19.7195;orf19.513;orf19.7214;orf19.20;orf19.2174;orf19.2365;orf19.6243;orf19.5389;orf19.5580;orf19.7308;orf19.4937;orf19.3417;orf19.1030;orf19.3093;orf19.1040;orf19.245;orf19.4157;orf19.3263;orf19.1636;orf19.3550;orf19.5595;orf19.6091;orf19.3233;orf19.810;orf19.943;orf19.5410;orf19.1989;orf19.1741;orf19.469;orf19.3230;orf19.1605;orf19.2579;orf19.4242;orf19.4822;orf19.3648;orf19.3014;orf19.676;orf19.4909;orf19.6009;orf19.6414.3;orf19.7342;orf19.2614;orf19.5367;orf19.101;orf19.3459;orf19.1854;orf19.2432;orf19.941;orf19.5644;orf19.7663;orf19.2013;orf19.7463;orf19.2093;orf19.3176;orf19.1317;orf19.3545;orf19.2728;orf19.3201;orf19.6846;orf19.7479;orf19.4162;orf19.4481;orf19.5076;orf19.7501;orf19.1283;orf19.2559;orf19.7464;orf19.485;orf19.5764;orf19.2119;orf19.7208;orf19.4136;orf19.6405;orf19.708;orf19.1883;orf19.10712;orf19.10708	303
1791	GO:0022417 protein maturation by protein folding	orf19.2977	1
1792	GO:0022603 regulation of anatomical structure morphogenesis	orf19.457;orf19.6610;orf19.6034;orf19.7510;orf19.2340;orf19.2972;orf19.7652;orf19.1693;orf19.4448;orf19.4645;orf19.3555;orf19.505;orf19.980;orf19.1760;orf19.6240;orf19.3534;orf19.3749;orf19.6044;orf19.5200;orf19.6705;orf19.6045;orf19.3174;orf19.5015;orf19.6092;orf19.6285;orf19.390;orf19.2843;orf19.6170;orf19.3049;orf19.7489;orf19.2660;orf19.677;orf19.7308;orf19.2600;orf19.121;orf19.3330;orf19.6598;orf19.6260;orf19.4242;orf19.4909;orf19.738;orf19.1220;orf19.7115;orf19.5901;orf19.5455;orf19.708	46
1793	GO:0022604 regulation of cell morphogenesis	orf19.6610;orf19.6034;orf19.7510;orf19.2972;orf19.7652;orf19.1693;orf19.4448;orf19.4645;orf19.3555;orf19.980;orf19.1760;orf19.6240;orf19.3534;orf19.3749;orf19.6044;orf19.5200;orf19.6705;orf19.3174;orf19.5015;orf19.6092;orf19.6285;orf19.390;orf19.2843;orf19.6170;orf19.3049;orf19.7489;orf19.2660;orf19.677;orf19.7308;orf19.2600;orf19.121;orf19.3330;orf19.6598;orf19.4242;orf19.4909;orf19.738;orf19.1220;orf19.7115;orf19.5901;orf19.5455;orf19.708	41
1794	GO:0022607 cellular component assembly	orf19.7618;orf19.3677;orf19.1711;orf19.7624;orf19.136;orf19.4746;orf19.135;orf19.5551;orf19.7545;orf19.6347;orf19.4537;orf19.4697;orf19.3276;orf19.3593;orf19.717;orf19.5671;orf19.1343;orf19.6346;orf19.5844;orf19.1059;orf19.6512;orf19.564;orf19.1082.1;orf19.1738.1;orf19.6858;orf19.4151;orf19.200;orf19.2129;orf19.5954;orf19.1988;orf19.6536;orf19.2563;orf19.4336;orf19.773;orf19.7422;orf19.2485;orf19.3013;orf19.4760;orf19.3946;orf19.1957;orf19.5357;orf19.7154;orf19.5394.1;orf19.2040;orf19.3962;orf19.1387;orf19.1299;orf19.145;orf19.1267.1;orf19.4451;orf19.5006.1;orf19.6955;orf19.6610;orf19.6034;orf19.7594;orf19.6539;orf19.6250;orf19.4967;orf19.696;orf19.2867;orf19.953.1;orf19.2929;orf19.2848;orf19.3059;orf19.2983;orf19.3235;orf19.3344;orf19.3761;orf19.6010;orf19.7264;orf19.2939;orf19.6649;orf19.5188;orf19.5691;orf19.578;orf19.6686;orf19.4625;orf19.2711.1;orf19.399;orf19.7197;orf19.7332;orf19.7047;orf19.2527;orf19.1296;orf19.5513;orf19.819;orf19.6788;orf19.910;orf19.6625;orf19.6827;orf19.3123;orf19.7201;orf19.364;orf19.776;orf19.377;orf19.3087;orf19.2629;orf19.1185;orf19.4119;orf19.4293;orf19.5248;orf19.3764;orf19.7577;orf19.3693;orf19.6541;orf19.3547;orf19.3122.2;orf19.4427;orf19.2708;orf19.5137.1;orf19.5835;orf19.1077;orf19.3519;orf19.2387;orf19.5231.2;orf19.2721;orf19.4230;orf19.4261;orf19.5416;orf19.2549;orf19.3757;orf19.778;orf19.5658;orf19.475;orf19.4191;orf19.6924;orf19.6992;orf19.7325;orf19.508;orf19.1876;orf19.3699;orf19.1470;orf19.920;orf19.441;orf19.3647;orf19.3752;orf19.6458.1;orf19.4955;orf19.7215;orf19.4089;orf19.5967;orf19.7353;orf19.1642;orf19.184;orf19.3778;orf19.1367;orf19.5825;orf19.3178;orf19.6373;orf19.4208;orf19.1061;orf19.2229;orf19.5528;orf19.3553;orf19.7552;orf19.1624;orf19.4029;orf19.6345;orf19.2707.1;orf19.5491.1;orf19.3505;orf19.4439.1;orf19.2043;orf19.2682;orf19.2541;orf19.3098;orf19.1376;orf19.5358;orf19.6222;orf19.5459;orf19.1331;orf19.4835;orf19.3272;orf19.1622;orf19.4123;orf19.3161;orf19.2736;orf19.3129;orf19.5660.1;orf19.712;orf19.3003.1;orf19.5440;orf19.6364;orf19.672;orf19.1635;orf19.7081;orf19.6197;orf19.3116;orf19.4841;orf19.7215.3;orf19.5227;orf19.4479;orf19.7635;orf19.5249;orf19.927;orf19.5912;orf19.5260;orf19.3760;orf19.2066.1;orf19.3494;orf19.5163;orf19.6018;orf19.2749;orf19.5931;orf19.5487;orf19.6820;orf19.554;orf19.5065;orf19.6915;orf19.4627;orf19.5391;orf19.2378;orf19.3306;orf19.3792;orf19.5268;orf19.3289;orf19.5069;orf19.58;orf19.6163;orf19.3463;orf19.6417;orf19.5174;orf19.2782;orf19.2112;orf19.5985;orf19.3244;orf19.1746;orf19.2289;orf19.4401;orf19.7402;orf19.886;orf19.1448.1;orf19.4146;orf19.6240;orf19.7267;orf19.5198;orf19.3413;orf19.2104;orf19.6794;orf19.7665;orf19.4090.1;orf19.74;orf19.3170;orf19.4724;orf19.6942;orf19.4757;orf19.3052;orf19.6862;orf19.3242;orf19.1045;orf19.5237;orf19.2067;orf19.1311;orf19.745;orf19.4862.2;orf19.4127;orf19.6298;orf19.5974;orf19.327;orf19.6103;orf19.1119;orf19.3478;orf19.2436;orf19.5865;orf19.4102;orf19.2017;orf19.3481;orf19.2571;orf19.1444;orf19.4578;orf19.807;orf19.6193;orf19.3149;orf19.4614;orf19.5232;orf19.5991;orf19.2249;orf19.1815;orf19.7450;orf19.6740;orf19.4727;orf19.6031;orf19.3680;orf19.4035;orf19.3681;orf19.2514;orf19.4594;orf19.6359;orf19.2500;orf19.2678;orf19.5383;orf19.2105;orf19.332;orf19.6040;orf19.3473;orf19.5884;orf19.6374;orf19.1853;orf19.1839;orf19.5376;orf19.2953;orf19.7440;orf19.1246;orf19.4416;orf19.5828;orf19.5465;orf19.7265;orf19.3476;orf19.7377;orf19.6601.1;orf19.6589;orf19.4149.1;orf19.1791;orf19.6362;orf19.124;orf19.409;orf19.5016;orf19.4993;orf19.4018;orf19.6831;orf19.7198;orf19.6851;orf19.6909;orf19.548;orf19.1647;orf19.3599;orf19.1578;orf19.1569;orf19.6014;orf19.3841;orf19.5212;orf19.7343;orf19.482;orf19.4927;orf19.1413;orf19.7367;orf19.1238;orf19.1301;orf19.1434;orf19.2182;orf19.5033;orf19.7161;orf19.5325;orf19.1650;orf19.939;orf19.7646;orf19.702;orf19.5521;orf19.7298;orf19.5433;orf19.6773;orf19.6413;orf19.7015;orf19.2616;orf19.1161;orf19.1837;orf19.3751;orf19.7503;orf19.6791;orf19.5296;orf19.350;orf19.2699;orf19.501;orf19.5847;orf19.6590;orf19.3000;orf19.2675;orf19.2763;orf19.2723;orf19.933;orf19.2528;orf19.5081;orf19.5345;orf19.2893;orf19.4096;orf19.4324;orf19.6540;orf19.5015;orf19.4307;orf19.318;orf19.5793;orf19.2201;orf19.925;orf19.4346;orf19.5767;orf19.5960;orf19.7537;orf19.5242;orf19.1111;orf19.6886;orf19.4457;orf19.6811;orf19.3561;orf19.5007;orf19.5220;orf19.5544;orf19.3856;orf19.144;orf19.2369;orf19.4294;orf19.4080;orf19.6358;orf19.5087;orf19.698;orf19.2911;orf19.4221;orf19.4187;orf19.3140.1;orf19.1532;orf19.663;orf19.2260;orf19.3686;orf19.259;orf19.6975;orf19.1687;orf19.6604;orf19.2230;orf19.2232;orf19.1691;orf19.1453;orf19.5623;orf19.3788;orf19.4969;orf19.1055;orf19.5531;orf19.3153;orf19.5666;orf19.6548;orf19.553;orf19.1646;orf19.7603;orf19.4825;orf19.6455;orf19.4164;orf19.4413;orf19.1588;orf19.6160;orf19.5243;orf19.5850;orf19.2611;orf19.5105;orf19.4203;orf19.2097;orf19.6328;orf19.2007;orf19.4593.1;orf19.7292;orf19.230;orf19.6607;orf19.7124;orf19.4354;orf19.429;orf19.6685;orf19.5664;orf19.5356;orf19.6020;orf19.3049;orf19.7489;orf19.239;orf19.2557;orf19.2389;orf19.2081;orf19.2818;orf19.262;orf19.4191.1;orf19.2935;orf19.6726;orf19.3287;orf19.2416.1;orf19.2698;orf19.2319;orf19.1609;orf19.7384;orf19.171;orf19.6225.1;orf19.2920;orf19.6565;orf19.1047;orf19.2443;orf19.7136;orf19.2471;orf19.6283;orf19.2174;orf19.5322;orf19.1467;orf19.3695;orf19.1667.1;orf19.6243;orf19.3799;orf19.2006.1;orf19.5339;orf19.1993;orf19.287;orf19.6247.1;orf19.202;orf19.1280;orf19.5597;orf19.5961;orf19.2329.1;orf19.2938;orf19.2422;orf19.6923;orf19.2303;orf19.3252;orf19.2278;orf19.3328;orf19.7308;orf19.2600;orf19.4937;orf19.3957;orf19.6925;orf19.494;orf19.1030;orf19.7581;orf19.51;orf19.542.2;orf19.6766;orf19.3421.1;orf19.7048.1;orf19.6265.1;orf19.2925;orf19.3423;orf19.7179;orf19.3550;orf19.382;orf19.2507;orf19.7650;orf19.1435;orf19.3237;orf19.7454;orf19.4091;orf19.4597;orf19.3233;orf19.5515;orf19.522;orf19.2305;orf19.4033;orf19.6598;orf19.4223;orf19.1741;orf19.2510;orf19.1747;orf19.392;orf19.4435;orf19.2884;orf19.6442;orf19.29;orf19.4242;orf19.6563.1;orf19.1335;orf19.3014;orf19.413.1;orf19.676;orf19.1273;orf19.1949;orf19.4909;orf19.1474;orf19.6780;orf19.2504;orf19.1052;orf19.6414.3;orf19.738;orf19.5351;orf19.1483;orf19.2825;orf19.4676;orf19.1854;orf19.1901;orf19.5644;orf19.1114;orf19.7463;orf19.2980;orf19.2301;orf19.6902;orf19.6577;orf19.4363;orf19.6634;orf19.7368;orf19.470;orf19.1336.2;orf19.1220;orf19.747;orf19.7449;orf19.5629;orf19.1492;orf19.3579;orf19.3251;orf19.687.1;orf19.1625;orf19.1051;orf19.1574;orf19.2233;orf19.6294;orf19.7293;orf19.6286.2;orf19.2982;orf19.5492;orf19.458;orf19.5076;orf19.7501;orf19.3540;orf19.3687;orf19.1601;orf19.485;orf19.6515;orf19.6648;orf19.5206;orf19.5764;orf19.2921;orf19.5423;orf19.76;orf19.7216;orf19.1668;orf19.4808;orf19.7208;orf19.7062;orf19.6213;orf19.6405;orf19.4623.3;orf19.7420;orf19.6234;orf19.708;orf19.4929;orf19.336;orf19.6461;orf19.1936;orf19.5947;orf19.6900;orf19.4799;orf19.1883;orf19.2168.3;orf19.6916;orf19.210	633
1795	GO:0022613 ribonucleoprotein complex biogenesis	orf19.2314;orf19.4443;orf19.4746;orf19.6347;orf19.6400;orf19.200;orf19.2740;orf19.3817;orf19.7397;orf19.6407;orf19.6511;orf19.3962;orf19.4374;orf19.6872;orf19.4451;orf19.4297;orf19.5500;orf19.4815;orf19.6418;orf19.1735;orf19.1457;orf19.6686;orf19.6679;orf19.3829;orf19.7197;orf19.7332;orf19.7047;orf19.59;orf19.6827;orf19.3087;orf19.4002;orf19.7036;orf19.2558;orf19.7652;orf19.3034;orf19.3547;orf19.2975;orf19.512;orf19.6795;orf19.3608;orf19.4219;orf19.7621;orf19.7041;orf19.1495;orf19.2362;orf19.4191;orf19.6013;orf19.1849;orf19.4963;orf19.4089;orf19.1642;orf19.3178;orf19.1388;orf19.3843;orf19.4265;orf19.3553;orf19.4029;orf19.4349;orf19.5358;orf19.3272;orf19.3603;orf19.1622;orf19.2368;orf19.4659;orf19.5550;orf19.603;orf19.5168;orf19.7107;orf19.6068;orf19.2478.1;orf19.5912;orf19.4278;orf19.7282;orf19.6444;orf19.1281;orf19.5107;orf19.2055;orf19.2222;orf19.1531;orf19.4492;orf19.2473;orf19.5938;orf19.1091;orf19.2112;orf19.5985;orf19.6982;orf19.1228;orf19.2185;orf19.6147;orf19.5198;orf19.3797;orf19.3894;orf19.6587;orf19.6432;orf19.1045;orf19.1007;orf19.1499;orf19.6133;orf19.4863;orf19.2183;orf19.3478;orf19.2436;orf19.6080;orf19.2727;orf19.4284;orf19.2545;orf19.6722;orf19.1815;orf19.7672;orf19.4542;orf19.1491;orf19.332;orf19.5884;orf19.7160;orf19.2290;orf19.4516;orf19.3476;orf19.2901;orf19.1164;orf19.1791;orf19.6362;orf19.2820;orf19.6360;orf19.4028;orf19.6831;orf19.7198;orf19.1647;orf19.3599;orf19.6014;orf19.6843;orf19.190;orf19.641;orf19.6152;orf19.5040;orf19.2564;orf19.7488;orf19.497;orf19.501;orf19.2675;orf19.2528;orf19.2622;orf19.600;orf19.3325.3;orf19.4324;orf19.107;orf19.2492;orf19.3077;orf19.4062;orf19.3945;orf19.3630;orf19.3785;orf19.4221;orf19.6236;orf19.2260;orf19.6975;orf19.1687;orf19.3788;orf19.1773;orf19.7051;orf19.4164;orf19.5850;orf19.6893;orf19.6685;orf19.498;orf19.3169;orf19.2002;orf19.2818;orf19.6199;orf19.6726;orf19.3287;orf19.3585;orf19.579;orf19.7384;orf19.2920;orf19.2044;orf19.1047;orf19.154;orf19.3867;orf19.7662;orf19.6286;orf19.2090;orf19.2399;orf19.1139;orf19.4133;orf19.3328;orf19.494;orf19.1762;orf19.7050;orf19.7650;orf19.4091;orf19.3330;orf19.665;orf19.7424;orf19.3831;orf19.2215;orf19.367;orf19.29;orf19.2325;orf19.6355;orf19.276;orf19.5035;orf19.6780;orf19.7548;orf19.6319;orf19.5959;orf19.5953;orf19.4225;orf19.5413;orf19.6902;orf19.4363;orf19.1902;orf19.6271;orf19.1700;orf19.1555;orf19.6309;orf19.7362;orf19.4892;orf19.2167;orf19.7501;orf19.2582;orf19.4093;orf19.73;orf19.3540;orf19.5996.1;orf19.661;orf19.6648;orf19.760;orf19.6624;orf19.4799;orf19.3773;orf19.10713	231
1796	GO:0022616 DNA strand elongation	orf19.4616;orf19.2873;orf19.926;orf19.3761;orf19.96;orf19.3063;orf19.6891;orf19.2088;orf19.6133;orf19.5335;orf19.5182;orf19.3960;orf19.4988;orf19.7658;orf19.7564;orf19.3211;orf19.2611;orf19.1192;orf19.4354;orf19.4441;orf19.2365;orf19.202;orf19.7035;orf19.6910;orf19.1901;orf19.6155;orf19.2029	27
1797	GO:0022618 ribonucleoprotein complex assembly	orf19.7624;orf19.4746;orf19.135;orf19.7545;orf19.6347;orf19.4537;orf19.4697;orf19.3276;orf19.6346;orf19.200;orf19.2563;orf19.4336;orf19.773;orf19.7422;orf19.2485;orf19.4760;orf19.7154;orf19.3962;orf19.145;orf19.6539;orf19.2983;orf19.6686;orf19.7332;orf19.7047;orf19.2527;orf19.1296;orf19.5513;orf19.910;orf19.6827;orf19.3087;orf19.6541;orf19.3547;orf19.5835;orf19.4261;orf19.475;orf19.4191;orf19.6992;orf19.1876;orf19.920;orf19.7215;orf19.1642;orf19.3778;orf19.3178;orf19.3553;orf19.7552;orf19.1624;orf19.4029;orf19.6345;orf19.2541;orf19.3098;orf19.6222;orf19.4835;orf19.3272;orf19.3161;orf19.3129;orf19.3003.1;orf19.672;orf19.1635;orf19.3116;orf19.4479;orf19.7635;orf19.927;orf19.5912;orf19.5931;orf19.5065;orf19.4627;orf19.5391;orf19.3792;orf19.58;orf19.3463;orf19.6417;orf19.2112;orf19.4401;orf19.4146;orf19.5198;orf19.3413;orf19.3170;orf19.4724;orf19.6862;orf19.1045;orf19.6298;orf19.1119;orf19.3478;orf19.2436;orf19.5865;orf19.2017;orf19.3481;orf19.5232;orf19.5991;orf19.1815;orf19.6740;orf19.2105;orf19.332;orf19.3473;orf19.5884;orf19.1839;orf19.5828;orf19.5465;orf19.7265;orf19.6589;orf19.4149.1;orf19.1791;orf19.124;orf19.4018;orf19.6831;orf19.7198;orf19.1578;orf19.1569;orf19.7343;orf19.7367;orf19.7161;orf19.939;orf19.7646;orf19.702;orf19.7015;orf19.501;orf19.5847;orf19.2675;orf19.2723;orf19.5081;orf19.2893;orf19.5767;orf19.6886;orf19.5220;orf19.144;orf19.4080;orf19.2260;orf19.259;orf19.6975;orf19.1687;orf19.2230;orf19.2232;orf19.1453;orf19.3788;orf19.1646;orf19.4164;orf19.5243;orf19.5850;orf19.429;orf19.6685;orf19.5356;orf19.2818;orf19.262;orf19.2935;orf19.3287;orf19.2319;orf19.1609;orf19.7384;orf19.171;orf19.2920;orf19.1047;orf19.3695;orf19.1280;orf19.5597;orf19.2329.1;orf19.2422;orf19.2303;orf19.3957;orf19.494;orf19.7581;orf19.51;orf19.6766;orf19.7048.1;orf19.6265.1;orf19.3423;orf19.2507;orf19.7650;orf19.4033;orf19.6598;orf19.4223;orf19.6442;orf19.1335;orf19.413.1;orf19.6780;orf19.2504;orf19.5351;orf19.2980;orf19.6902;orf19.6577;orf19.4363;orf19.1492;orf19.687.1;orf19.6286.2;orf19.5492;orf19.3540;orf19.3687;orf19.1601;orf19.6515;orf19.6648;orf19.5206;orf19.76;orf19.4808;orf19.7062;orf19.6213;orf19.6234;orf19.4799	196
1798	GO:0022898 regulation of transmembrane transporter activity	orf19.6232	1
1799	GO:0022900 electron transport chain	orf19.2871;orf19.913.2;orf19.3611;orf19.440;orf19.4759;orf19.2707.1;orf19.2439.1;orf19.3656;orf19.1480;orf19.873.1;orf19.2644;orf19.6045;orf19.4096;orf19.3290;orf19.5893;orf19.4751.1;orf19.3527;orf19.227;orf19.6531;orf19.1467;orf19.1770;orf19.4022;orf19.5213.2;orf19.637;orf19.2570;orf19.5629;orf19.1471;orf19.4490.2;orf19.5213.1	29
